Date,Platform,Campaign,Spend,Revenue,Clicks,Impressions,Conversions
2024-04-24,Facebook Ads,Retargeting,4134.82,23973.14,572,13040,39
2024-04-24,Google Ads,Brand Search,939.52,2852.69,698,8576,22
2024-04-24,Snapchat Ads,Prospecting,6326.29,19005.68,453,2285,25
2024-04-24,Pinterest Ads,Awareness,1732.0,11017.23,557,10912,29
2024-04-24,Tiktok Ads,Video,3251.74,14229.48,332,5039,37
2024-04-24,Affiliate,Affiliation,636.4,926.76,428,11020,28
2024-04-24,Liveintent,Email,337.44,1548.29,320,5517,9
2024-04-24,Criteo,Display Retargeting,4687.64,17676.47,338,5844,25
2024-04-24,Microsoft Ads,Search,1199.47,8162.89,412,4757,33
2024-04-25,Facebook Ads,Retargeting,1889.97,9519.86,396,10541,16
2024-04-25,Google Ads,Brand Search,5468.84,17496.9,484,8595,18
2024-04-25,Snapchat Ads,Prospecting,6111.66,22722.69,416,7637,23
2024-04-25,Pinterest Ads,Awareness,665.29,2364.91,561,6705,13
2024-04-25,Tiktok Ads,Video,1782.06,15474.32,670,8350,21
2024-04-25,Affiliate,Affiliation,311.93,2088.88,345,2849,18
2024-04-25,Liveintent,Email,2959.54,19649.13,440,7383,23
2024-04-25,Criteo,Display Retargeting,2119.8,16499.76,541,10572,13
2024-04-25,Microsoft Ads,Search,8944.99,31664.35,734,6142,61
2024-04-26,Facebook Ads,Retargeting,164.08,1553.02,343,3429,27
2024-04-26,Google Ads,Brand Search,396.87,1037.14,260,7195,7
2024-04-26,Snapchat Ads,Prospecting,1415.03,7522.51,588,14268,26
2024-04-26,Pinterest Ads,Awareness,1015.07,8535.05,286,5393,20
2024-04-26,Tiktok Ads,Video,1317.09,5892.77,651,8161,52
2024-04-26,Affiliate,Affiliation,11168.6,46087.75,621,5925,21
2024-04-26,Liveintent,Email,1817.28,8588.86,425,10734,40
2024-04-26,Criteo,Display Retargeting,1500.09,6599.48,304,3286,13
2024-04-26,Microsoft Ads,Search,8230.47,21813.09,595,5891,35
2024-04-27,Facebook Ads,Retargeting,3214.83,14456.82,588,5610,28
2024-04-27,Google Ads,Brand Search,8039.19,25633.44,687,9319,42
2024-04-27,Snapchat Ads,Prospecting,193.72,1161.15,529,9710,16
2024-04-27,Pinterest Ads,Awareness,2719.52,11719.05,264,5814,24
2024-04-27,Tiktok Ads,Video,110.92,433.24,486,8983,10
2024-04-27,Affiliate,Affiliation,247.38,1288.99,584,7151,36
2024-04-27,Liveintent,Email,13283.51,41426.05,348,5560,29
2024-04-27,Criteo,Display Retargeting,603.02,3441.63,435,4021,10
2024-04-27,Microsoft Ads,Search,2707.12,12092.8,249,3729,31
2024-04-28,Facebook Ads,Retargeting,1558.12,3352.19,276,4110,24
2024-04-28,Google Ads,Brand Search,945.99,3634.96,421,13379,34
2024-04-28,Snapchat Ads,Prospecting,5606.1,36015.67,467,5088,36
2024-04-28,Pinterest Ads,Awareness,61.94,270.4,552,16669,15
2024-04-28,Tiktok Ads,Video,1839.82,8807.39,311,3281,8
2024-04-28,Affiliate,Affiliation,9113.82,31034.5,329,7594,31
2024-04-28,Liveintent,Email,997.02,10335.77,550,9261,32
2024-04-28,Criteo,Display Retargeting,9486.06,21348.83,322,11100,13
2024-04-28,Microsoft Ads,Search,157.73,784.37,584,12182,25
2024-04-29,Facebook Ads,Retargeting,1800.8,9574.17,230,5628,14
2024-04-29,Google Ads,Brand Search,847.84,2125.11,410,9010,20
2024-04-29,Snapchat Ads,Prospecting,5852.7,13243.69,625,7837,21
