Date,Platform,Campaign,Spend,Revenue,Clicks,Impressions,Conversions
2024-05-24,Facebook Ads,Retargeting,7414.93,35021.54,652,10519,29
2024-05-24,Google Ads,Brand Search,559.11,2957.0,711,8228,16
2024-05-24,Snapchat Ads,Prospecting,6057.0,24984.91,429,6125,22
2024-05-24,Pinterest Ads,Awareness,1774.6,10625.08,544,12135,40
2024-05-24,Tiktok Ads,Video,2358.91,12863.04,301,4731,22
2024-05-24,Affiliate,Affiliation,536.03,1775.18,471,8109,35
2024-05-24,Liveintent,Email,327.31,1052.99,304,4298,21
2024-05-24,Criteo,Display Retargeting,2612.33,18957.55,309,8714,25
2024-05-24,Microsoft Ads,Search,2691.3,7862.09,361,6276,28
2024-05-25,Facebook Ads,Retargeting,1750.53,10173.49,352,7523,15
2024-05-25,Google Ads,Brand Search,2950.57,20707.95,269,8758,17
2024-05-25,Snapchat Ads,Prospecting,3501.23,24074.08,468,5278,36
2024-05-25,Pinterest Ads,Awareness,442.0,2929.24,772,8111,19
2024-05-25,Tiktok Ads,Video,2444.18,17929.01,556,8099,18
2024-05-25,Affiliate,Affiliation,553.67,2202.97,303,3529,24
2024-05-25,Liveintent,Email,4632.14,22618.1,388,8695,23
2024-05-25,Criteo,Display Retargeting,4253.96,11276.31,456,10800,26
2024-05-25,Microsoft Ads,Search,9027.02,33939.06,474,7705,40
2024-05-26,Facebook Ads,Retargeting,428.93,1625.11,308,4793,28
2024-05-26,Google Ads,Brand Search,309.76,768.05,284,6651,11
2024-05-26,Snapchat Ads,Prospecting,1210.53,3163.35,526,10688,57
2024-05-26,Pinterest Ads,Awareness,1118.69,6242.41,234,5381,21
2024-05-26,Tiktok Ads,Video,1505.38,7891.57,477,4790,48
2024-05-26,Affiliate,Affiliation,13035.0,41579.85,720,7771,13
2024-05-26,Liveintent,Email,1341.59,6752.91,589,7226,27
2024-05-26,Criteo,Display Retargeting,1406.46,8588.52,291,2692,17
2024-05-26,Microsoft Ads,Search,7945.55,20385.5,522,7258,21
2024-05-27,Facebook Ads,Retargeting,2638.03,14565.86,410,4499,38
2024-05-27,Google Ads,Brand Search,5482.53,34493.47,544,12122,33
2024-05-27,Snapchat Ads,Prospecting,320.31,1435.46,532,11493,18
2024-05-27,Pinterest Ads,Awareness,3548.42,17009.6,343,5884,25
2024-05-27,Tiktok Ads,Video,184.45,238.63,349,12332,12
2024-05-27,Affiliate,Affiliation,323.23,1599.84,593,7714,34
2024-05-27,Liveintent,Email,10019.82,62416.85,294,6514,26
2024-05-27,Criteo,Display Retargeting,448.62,3916.91,311,3343,7
2024-05-27,Microsoft Ads,Search,3666.68,12667.06,172,3821,27
2024-05-28,Facebook Ads,Retargeting,1309.89,4245.08,308,3749,18
2024-05-28,Google Ads,Brand Search,909.88,5323.76,285,13597,27
2024-05-28,Snapchat Ads,Prospecting,5315.19,27486.33,466,6175,33
2024-05-28,Pinterest Ads,Awareness,54.85,305.12,476,7969,12
2024-05-28,Tiktok Ads,Video,2053.96,14795.11,247,2435,11
2024-05-28,Affiliate,Affiliation,5965.25,34562.98,395,8780,29
2024-05-28,Liveintent,Email,2003.1,12706.25,401,12212,30
2024-05-28,Criteo,Display Retargeting,6485.58,36784.25,280,6052,11
2024-05-28,Microsoft Ads,Search,166.41,608.65,724,14369,33
2024-05-29,Facebook Ads,Retargeting,2317.23,8048.92,169,5500,10
2024-05-29,Google Ads,Brand Search,1069.64,3648.74,488,12163,15
2024-05-29,Snapchat Ads,Prospecting,5159.55,14590.93,660,5307,36
2024-05-29,Pinterest Ads,Awareness,11293.26,80895.2,416,12941,23
2024-05-29,Tiktok Ads,Video,855.42,7052.82,354,2475,16
2024-05-29,Affiliate,Affiliation,3450.06,15392.94,523,6728,21
2024-05-29,Liveintent,Email,696.0,5054.21,649,9076,36
2024-05-29,Criteo,Display Retargeting,2622.13,7957.33,652,5901,33
2024-05-29,Microsoft Ads,Search,1779.29,14678.5,557,4685,48
2024-05-30,Facebook Ads,Retargeting,10128.27,36521.18,227,3990,15
2024-05-30,Google Ads,Brand Search,2862.86,11428.19,366,8313,22
2024-05-30,Snapchat Ads,Prospecting,872.39,4719.22,513,6798,26
2024-05-30,Pinterest Ads,Awareness,222.78,1661.77,325,13106,27
2024-05-30,Tiktok Ads,Video,433.46,2543.45,351,5755,10
2024-05-30,Affiliate,Affiliation,677.62,2452.4,390,8559,11
2024-05-30,Liveintent,Email,699.83,2558.96,326,6298,44
2024-05-30,Criteo,Display Retargeting,7092.15,21727.25,398,3775,33
2024-05-30,Microsoft Ads,Search,1936.05,13453.11,531,4620,24
2024-05-31,Facebook Ads,Retargeting,3265.58,14000.86,373,7706,16
2024-05-31,Google Ads,Brand Search,480.87,1997.04,322,7180,15
